축제명,개최장소,역명,축제시작일자,축제종료일자,축제내용
석촌호수벚꽃축제,석촌호수 일대,잠실(송파구청),2019-04-05,2019-04-12,"벚꽃조명길, 벚꽃은하수길, 벚꽃체험, 벚꽃프린지, 벚꽃음악회, 벚꽃시네마, 푸드트럭 등"
4.19혁명 국민문화제 2019,서울특별시 강북구 국립4.19 민주묘지 및 강북구 일원,수유(강북구청),2019-04-13,2019-04-19,4.19기념 국민문화제
2019 제8회 서울동화축제,어린이대공원,어린이대공원(세종대),2019-05-04,2019-05-06,동화를 테마로 한 전시·공연·체험·구연동화 및 각종 이벤트 개최
응봉산 해맞이축제,서울특별시 성동구 응봉동 응봉산,옥수,2019-01-01,2019-01-01,"신년 북 다고, 새해 덕담, 해돋이 감상"
응봉산 개나리축체,서울특별시 성동구 응봉동 응봉산,옥수,2019-03-29,2019-03-31,구민이 주체가 되어 자발적으로 참여하는 성동구민을 위한 축제
우장산 신록축제,우장산근린공원,우장산,2019-05-25,2019-05-25,"건강걷기, 주민참여마당, 숲속음악회"
해맞이축제,개화산 정상,개화산,2019-01-01,2019-01-01,"소망엽서 보내기, 문화공연, 해오름 행사"
개화산 봄꽃축제,방화근린공원,방화,2019-04-20,2019-04-20,"건강걷기, 주민참여마당, 플라워콘서트"
K-POP광장 야외시네마,코엑스 K-POP광장,삼성(무역센터),2019-04-26,2019-10-04,야외시네마 및 부대행사
내 집 앞 세계영화제,강남구 전역,강남,2019-03-29,2019-10-19,주민생활 공간 곳곳에서 세계영화 상영
K-POP 뮤직페스티벌,코엑스 광장,삼성(무역센터),2019-05-30,2019-10-03,상시 K-POP 공연
C-festival 2019,코엑스 영동대로,삼성(무역센터),2019-05-02,2019-05-06,"인사이트 콘서트, 잇더서울, Craft Beer Festival 등"
