날짜,서울,경기
2019-01-01,1381.11,1278.63
2019-01-02,1376.81,1275.99
2019-01-03,1372.57,1272.7
2019-01-04,1370.87,1269.73
2019-01-05,1369.1,1267.24
2019-01-06,1368.54,1265.67
2019-01-07,1366.36,1264.08
2019-01-08,1362.97,1261.29
2019-01-09,1362.05,1259.32
2019-01-10,1360.01,1258.35
2019-01-11,1358.31,1257.48
2019-01-12,1357.02,1256.76
2019-01-13,1356.81,1256.37
2019-01-14,1355.48,1256.53
2019-01-15,1355.25,1255.91
2019-01-16,1355.18,1255.43
2019-01-17,1353.35,1254.73
2019-01-18,1352.58,1254.16
2019-01-19,1352.05,1253.72
2019-01-20,1351.89,1253.69
2019-01-21,1351.36,1253.8
2019-01-22,1349.73,1253.19
2019-01-23,1348.95,1253.06
2019-01-24,1349.08,1252.36
2019-01-25,1347.82,1252.06
2019-01-26,1346.55,1251.68
2019-01-27,1346.6,1251.51
2019-01-28,1346.56,1251.64
2019-01-29,1346.85,1251.56
2019-01-30,1345.44,1251.33
2019-01-31,1344.68,1250.8
2019-02-01,1344.48,1250.64
2019-02-02,1344.21,1250.61
2019-02-03,1344.39,1250.45
2019-02-04,1342.95,1250.51
2019-02-05,1342.81,1250.44
2019-02-06,1342.71,1250.08
2019-02-07,1342.54,1249.88
2019-02-08,1342.11,1249.84
2019-02-09,1341.94,1249.34
2019-02-10,1341.72,1249.47
2019-02-11,1341.27,1249.4
2019-02-12,1340.19,1249.09
2019-02-13,1339.46,1249.03
2019-02-14,1338.95,1248.82
2019-02-15,1338.63,1248.98
2019-02-16,1338.98,1248.59
2019-02-17,1339.13,1248.68
2019-02-18,1338.87,1249.11
2019-02-19,1338.61,1249.3
2019-02-20,1338.63,1249.7
2019-02-21,1339.22,1250.31
2019-02-22,1339.27,1250.81
2019-02-23,1339.44,1251.25
2019-02-24,1339.31,1251.21
2019-02-25,1339.75,1252.38
2019-02-26,1341.68,1253.58
2019-02-27,1343.92,1254.49
2019-02-28,1344.2,1255.2
2019-03-01,1345.03,1256.34
2019-03-02,1345.22,1256.32
2019-03-03,1344.94,1256.46
2019-03-04,1345.46,1257.51
2019-03-05,1345.84,1258.21
2019-03-06,1345.76,1258.8
2019-03-07,1345.81,1259.85
2019-03-08,1346.89,1261.43
2019-03-09,1347.2,1262.58
2019-03-10,1348.02,1263.27
2019-03-11,1348,1265.18
2019-03-12,1348.87,1267.55
2019-03-13,1351.25,1270.14
2019-03-14,1353.63,1272.19
2019-03-15,1355.72,1275.39
2019-03-16,1357.33,1277.45
2019-03-17,1357.49,1278.21
2019-03-18,1358.75,1280.27
2019-03-19,1361.39,1283.55
2019-03-20,1363.85,1285.8
2019-03-21,1365.65,1287.32
2019-03-22,1368.84,1289.23
2019-03-23,1371.95,1290.64
2019-03-24,1372.53,1291.48
2019-03-25,1374.45,1293.06
2019-03-26,1375.54,1295.04
2019-03-27,1377.17,1296.26
2019-03-28,1378.56,1297.43
2019-03-29,1378.74,1298.86
2019-03-30,1379.45,1299.42
2019-03-31,1379.79,1299.45
2019-04-01,1380.89,1301.79
2019-04-02,1382.84,1303.14
2019-04-03,1384.56,1304.29
2019-04-04,1384.82,1305.08
2019-04-05,1386.81,1306.14
2019-04-06,1388.06,1307.12
2019-04-07,1388.91,1307.57
2019-04-08,1390.93,1308.93
2019-04-09,1393.04,1310.72
2019-04-10,1395.29,1312.5
2019-04-11,1396.93,1314.67
2019-04-12,1398.95,1316.69
2019-04-13,1401.08,1318
2019-04-14,1402.02,1318.76
2019-04-15,1404.67,1320.93
2019-04-16,1409.1,1323.74
2019-04-17,1412.22,1325.9
2019-04-18,1414.51,1327.86
2019-04-19,1415.72,1329.87
2019-04-20,1416.8,1331.04
2019-04-21,1416.38,1331.82
2019-04-22,1418.88,1333.65
2019-04-23,1420.83,1335.76
2019-04-24,1422.89,1338.01
2019-04-25,1425.36,1339.71
2019-04-26,1427.12,1341.45
2019-04-27,1428.42,1342.88
2019-04-28,1428.62,1343.62
2019-04-29,1430.09,1345.91
2019-04-30,1432.88,1348.53
2019-05-01,1435.47,1351.7
2019-05-02,1437.59,1353.73
2019-05-03,1439.71,1355.89
2019-05-04,1441.35,1358.18
2019-05-05,1441.98,1359.9
2019-05-06,1443.18,1361.44
2019-05-07,1466.84,1381.87
2019-05-08,1472.83,1389.37
2019-05-09,1474.25,1392.36
2019-05-10,1475.2,1394.31
2019-05-11,1476.89,1395.01
2019-05-12,1476.68,1395.5
2019-05-13,1477.95,1396.59
2019-05-14,1478.94,1397.34
2019-05-15,1479.99,1398.06
2019-05-16,1480.17,1398.69
2019-05-17,1480.99,1399.33
2019-05-18,1481.9,1400.17
2019-05-19,1481.35,1400.14
2019-05-20,1481.48,1400.86
2019-05-21,1484.01,1402.18
2019-05-22,1485.41,1402.96
2019-05-23,1486.61,1403.43
2019-05-24,1487.8,1403.92
2019-05-25,1487.64,1403.98
2019-05-26,1488.45,1404.06
2019-05-27,1488.16,1404.55
2019-05-28,1488.83,1404.54
2019-05-29,1488.92,1404.52
2019-05-30,1488.78,1404.22
2019-05-31,1488.45,1404.08
2019-06-01,1487.96,1403.32
2019-06-02,1487.72,1402.98
2019-06-03,1487.07,1402.85
2019-06-04,1485.94,1402.16
2019-06-05,1484.68,1401.17
2019-06-06,1483.56,1399.67
2019-06-07,1482.06,1398.95
2019-06-08,1480.61,1397.4
2019-06-09,1479.92,1396.65
2019-06-10,1479.23,1395.62
2019-06-11,1476.55,1392.17
2019-06-12,1474.33,1389.23
2019-06-13,1472.48,1385.88
2019-06-14,1469.71,1382.53
2019-06-15,1468.28,1379.85
2019-06-16,1467.76,1378.64
2019-06-17,1467.02,1377.08
2019-06-18,1465.29,1373.86
2019-06-19,1463.16,1371.2
2019-06-20,1461.48,1368.67
2019-06-21,1460.21,1366.79
2019-06-22,1458.58,1365.41
2019-06-23,1458.69,1364.78
2019-06-24,1457.6,1363.73
2019-06-25,1457.19,1362.58
2019-06-26,1456.2,1361.41
2019-06-27,1455.66,1360.82
2019-06-28,1455.54,1360.14
2019-06-29,1455.27,1359.21
2019-06-30,1455.82,1358.64
